id,x,y,w,h,cx,cy,angle_deg,radius,char,name,cp_hex,cp_bin,utf8_hex,utf8_bin
1,721,117,79,76,760.5,155,343.13,908.07,👏,CLAPPING HANDS SIGN,1F44F,11111010001001111,F09F918F,11110000100111111001000110001111
2,837,131,72,69,873,165.5,350.02,871.68,💭,THOUGHT BALLOON,1F4AD,11111010010101101,F09F92AD,11110000100111111001001010101101
3,956,164,60,61,986,194.5,357.38,830.37,🥴,FACE WITH UNEVEN EYES AND WAVY MOUTH,1F974,11111100101110100,F09FA5B4,11110000100111111010010110110100
4,1027,98,56,65,1055,130.5,1.99,894.04,🙎‍♀️,WOMAN POUTING,1F64E-200D-2640-FE0F,11111011001001110 10000000001101 10011001000000 1111111000001111,F09F998EE2808DE29980EFB88F,11110000100111111001100110001110111000101000000010001101111000101001100110000000111011111011100010001111
5,1127,146,64,64,1159,178,9.07,856.70,🖤,BLACK HEART,1F5A4,11111010110100100,F09F96A4,11110000100111111001011010100100
6,1053,205,64,63,1085,236.5,4.43,789.86,❤️,HEAVY BLACK HEART,2764-FE0F,10011101100100 1111111000001111,E29DA4EFB88F,111000101001110110100100111011111011100010001111
7,1137,260,71,66,1172.5,293,11.48,745.93,🪙,COIN,1FA99,11111101010011001,F09FAA99,11110000100111111010101010011001
8,1215,209,71,65,1250.5,241.5,16.14,814.62,🚴,BICYCLIST,1F6B4,11111011010110100,F09F9AB4,11110000100111111001101010110100
9,1311,170,56,60,1339,200,20.92,882.16,🏃‍♀️,WOMAN RUNNING,1F3C3-200D-2640-FE0F,11111001111000011 10000000001101 10011001000000 1111111000001111,F09F8F83E2808DE29980EFB88F,11110000100111111000111110000011111000101000000010001101111000101001100110000000111011111011100010001111
10,1296,279,68,66,1330,312,23.26,774.97,🙏,PERSON WITH FOLDED HANDS,1F64F,11111011001001111,F09F998F,11110000100111111001100110001111
11,1392,246,51,67,1417.5,279.5,27.86,842.09,👨‍✈️,MAN PILOT,1F468-200D-2708-FE0F,11111010001101000 10000000001101 10011100001000 1111111000001111,F09F91A8E2808DE29C88EFB88F,11110000100111111001000110101000111000101000000010001101111000101001110010001000111011111011100010001111
12,1499,227,24,70,1511,262,32.58,904.33,🧍‍♀️,WOMAN STANDING,1F9CD-200D-2640-FE0F,11111100111001101 10000000001101 10011001000000 1111111000001111,F09FA78DE2808DE29980EFB88F,11110000100111111010011110001101111000101000000010001101111000101001100110000000111011111011100010001111
13,1460,334,48,68,1484,368,35.04,801.21,🧑🏻‍🩰,CUSTOM INPUT,1F9D1-1F3FB-200D-1FA70,11111100111010001 11111001111111011 10000000001101 11111101001110000,F09FA791F09F8FBBE2808DF09FA9B0,111100001001111110100111100100011111000010011111100011111011101111100010100000001000110111110000100111111010100110110000
14,1543,323,68,68,1577,357,39.66,866.43,👨‍🌾,MAN FARMER,1F468-200D-1F33E,11111010001101000 10000000001101 11111001100111110,F09F91A8E2808DF09F8CBE,1111000010011111100100011010100011100010100000001000110111110000100111111000110010111110
15,1360,363,66,63,1393,394.5,30.38,729.68,👩🏽‍🦰,CUSTOM INPUT,1F469-1F3FD-200D-1F9B0,11111010001101001 11111001111111101 10000000001101 11111100110110000,F09F91A9F09F8FBDE2808DF09FA6B0,111100001001111110010001101010011111000010011111100011111011110111100010100000001000110111110000100111111010011010110000
16,1219,328,49,69,1243.5,362.5,18.36,696.97,👆🏿,CUSTOM INPUT,1F446-1F3FF,11111010001000110 11111001111111111,F09F9186F09F8FBF,1111000010011111100100011000011011110000100111111000111110111111
17,1087,330,36,64,1105,362,6.98,666.94,🚶🏾‍♀️,CUSTOM INPUT,1F6B6-1F3FE-200D-2640-FE0F,11111011010110110 11111001111111110 10000000001101 10011001000000 1111111000001111,F09F9AB6F09F8FBEE2808DE29980EFB88F,1111000010011111100110101011011011110000100111111000111110111110111000101000000010001101111000101001100110000000111011111011100010001111
18,987,277,70,64,1022,309,359.84,715.00,👼,BABY ANGEL,1F47C,11111010001111100,F09F91BC,11110000100111111001000110111100
19,901,235,51,66,926.5,268,352.65,762.26,🦻🏿,CUSTOM INPUT,1F9BB-1F3FF,11111100110111011 11111001111111111,F09FA6BBF09F8FBF,1111000010011111101001101011101111110000100111111000111110111111
20,793,212,61,69,823.5,246.5,345.54,802.94,🧑🏻‍🍳,CUSTOM INPUT,1F9D1-1F3FB-200D-1F373,11111100111010001 11111001111111011 10000000001101 11111001101110011,F09FA791F09F8FBBE2808DF09F8DB3,111100001001111110100111100100011111000010011111100011111011101111100010100000001000110111110000100111111000110110110011
21,681,203,62,70,712,238,338.35,845.66,🙋🏿‍♂️,CUSTOM INPUT,1F64B-1F3FF-200D-2642-FE0F,11111011001001011 11111001111111111 10000000001101 10011001000010 1111111000001111,F09F998BF09F8FBFE2808DE29982EFB88F,1111000010011111100110011000101111110000100111111000111110111111111000101000000010001101111000101001100110000010111011111011100010001111
22,567,213,63,69,598.5,247.5,331.28,885.44,🧗‍♂️,MAN CLIMBING,1F9D7-200D-2642-FE0F,11111100111010111 10000000001101 10011001000010 1111111000001111,F09FA797E2808DE29982EFB88F,11110000100111111010011110010111111000101000000010001101111000101001100110000010111011111011100010001111
24,539,317,72,44,575,339,326.76,819.04,🏊‍♂️,MAN SWIMMING,1F3CA-200D-2642-FE0F,11111001111001010 10000000001101 10011001000010 1111111000001111,F09F8F8AE2808DE29982EFB88F,11110000100111111000111110001010111000101000000010001101111000101001100110000010111011111011100010001111
25,657,294,57,66,685.5,327,334.10,774.85,🧑🏾‍⚖️,CUSTOM INPUT,1F9D1-1F3FE-200D-2696-FE0F,11111100111010001 11111001111111110 10000000001101 10011010010110 1111111000001111,F09FA791F09F8FBEE2808DE29A96EFB88F,1111000010011111101001111001000111110000100111111000111110111110111000101000000010001101111000101001101010010110111011111011100010001111
26,755,298,65,66,787.5,331,341.16,732.24,😺,SMILING CAT FACE WITH OPEN MOUTH,1F63A,11111011000111010,F09F98BA,11110000100111111001100010111010
27,859,321,49,66,883.5,354,348.16,684.57,🧑🏾‍💼,CUSTOM INPUT,1F9D1-1F3FE-200D-1F4BC,11111100111010001 11111001111111110 10000000001101 11111010010111100,F09FA791F09F8FBEE2808DF09F92BC,111100001001111110100111100100011111000010011111100011111011111011100010100000001000110111110000100111111001001010111100
28,934,370,72,52,970,396,355.09,630.32,🏊🏾‍♀️,CUSTOM INPUT,1F3CA-1F3FE-200D-2640-FE0F,11111001111001010 11111001111111110 10000000001101 10011001000000 1111111000001111,F09F8F8AF09F8FBEE2808DE29980EFB88F,1111000010011111100011111000101011110000100111111000111110111110111000101000000010001101111000101001100110000000111011111011100010001111
29,1011,411,68,70,1045,446,2.08,578.38,🧩,JIGSAW PUZZLE PIECE,1F9E9,11111100111101001,F09FA7A9,11110000100111111010011110101001
30,1135,397,71,67,1170.5,430.5,13.87,611.31,🚴,BICYCLIST,1F6B4,11111011010110100,F09F9AB4,11110000100111111001101010110100
31,1272,411,64,61,1304,441.5,25.67,646.30,😯,HUSHED FACE,1F62F,11111011000101111,F09F98AF,11110000100111111001100010101111
32,1406,449,59,68,1435.5,483,37.26,679.72,🙋‍♀️,WOMAN RAISING HAND,1F64B-200D-2640-FE0F,11111011001001011 10000000001101 10011001000000 1111111000001111,F09F998BE2808DE29980EFB88F,11110000100111111001100110001011111000101000000010001101111000101001100110000000111011111011100010001111
33,1508,430,56,64,1536,462,42.33,760.26,🧑🏻‍🔧,CUSTOM INPUT,1F9D1-1F3FB-200D-1F527,11111100111010001 11111001111111011 10000000001101 11111010100100111,F09FA791F09F8FBBE2808DF09F94A7,111100001001111110100111100100011111000010011111100011111011101111100010100000001000110111110000100111111001010010100111
34,1600,424,51,68,1625.5,458,46.74,825.93,🔓,OPEN LOCK,1F513,11111010100010011,F09F9493,11110000100111111001010010010011
35,1696,438,49,65,1720.5,470.5,51.53,889.65,🤵,MAN IN TUXEDO,1F935,11111100100110101,F09FA4B5,11110000100111111010010010110101
36,1715,544,69,69,1749.5,578.5,58.45,851.36,😈,SMILING FACE WITH HORNS,1F608,11111011000001000,F09F9888,11110000100111111001100010001000
37,1647,530,21,62,1657.5,561,53.84,784.66,🕴🏿,CUSTOM INPUT,1F574-1F3FF,11111010101110100 11111001111111111,F09F95B4F09F8FBF,1111000010011111100101011011010011110000100111111000111110111111
38,1538,526,50,65,1563,558.5,49.18,712.19,🤱,BREAST-FEEDING,1F931,11111100100110001,F09FA4B1,11110000100111111010010010110001
39,1431,544,64,63,1463,575.5,44.39,627.59,😲,ASTONISHED FACE,1F632,11111011000110010,F09F98B2,11110000100111111001100010110010
40,1317,495,52,64,1343,527,32.69,590.57,🧞,GENIE,1F9DE,11111100111011110,F09FA79E,11110000100111111010011110011110
41,1193,475,58,65,1222,507.5,20.97,553.15,👴,OLDER MAN,1F474,11111010001110100,F09F91B4,11110000100111111001000110110100
42,1072,485,69,68,1106.5,519,9.28,511.69,💇,HAIRCUT,1F487,11111010010000111,F09F9287,11110000100111111001001010000111
43,971,525,62,65,1002,557.5,357.30,467.02,👱‍♀️,WOMAN: BLOND HAIR,1F471-200D-2640-FE0F,11111010001110001 10000000001101 10011001000000 1111111000001111,F09F91B1E2808DE29980EFB88F,11110000100111111001000110110001111000101000000010001101111000101001100110000000111011111011100010001111
44,905,460,64,67,937,493.5,350.69,537.59,🧖🏻,CUSTOM INPUT,1F9D6-1F3FB,11111100111010110 11111001111111011,F09FA796F09F8FBB,1111000010011111101001111001011011110000100111111000111110111011
45,840,418,27,66,853.5,451,343.43,597.83,🧍,STANDING PERSON,1F9CD,11111100111001101,F09FA78D,11110000100111111010011110001101
46,742,399,40,58,762,428,336.27,651.05,🧑🏻‍🦽‍➡️,CUSTOM INPUT,1F9D1-1F3FB-200D-1F9BD-200D-27A1-FE0F,11111100111010001 11111001111111011 10000000001101 11111100110111101 10000000001101 10011110100001 1111111000001111,F09FA791F09F8FBBE2808DF09FA6BDE2808DE29EA1EFB88F,111100001001111110100111100100011111000010011111100011111011101111100010100000001000110111110000100111111010011010111101111000101000000010001101111000101001111010100001111011111011100010001111
47,631,394,68,54,665,421,329.23,701.78,🫲,LEFTWARDS HAND,1FAF2,11111101011110010,F09FABB2,11110000100111111010101110110010
48,530,397,68,69,564,431.5,322.18,750.10,👩🏻‍🌾,CUSTOM INPUT,1F469-1F3FB-200D-1F33E,11111010001101001 11111001111111011 10000000001101 11111001100111110,F09F91A9F09F8FBBE2808DF09F8CBE,111100001001111110010001101010011111000010011111100011111011101111100010100000001000110111110000100111111000110010111110
49,439,335,61,68,469.5,369,319.75,858.19,🧛🏻‍♂️,CUSTOM INPUT,1F9DB-1F3FB-200D-2642-FE0F,11111100111011011 11111001111111011 10000000001101 10011001000010 1111111000001111,F09FA79BF09F8FBBE2808DE29982EFB88F,1111000010011111101001111001101111110000100111111000111110111011111000101000000010001101111000101001100110000010111011111011100010001111
50,333,384,65,63,365.5,415.5,312.74,896.60,🤨,FACE WITH ONE EYEBROW RAISED,1F928,11111100100101000,F09FA4A8,11110000100111111010010010101000
51,431,430,68,68,465,464,315.05,791.25,☠️,SKULL AND CROSSBONES,2620-FE0F,10011000100000 1111111000001111,E298A0EFB88F,111000101001100010100000111011111011100010001111
52,331,478,69,68,365.5,512,307.87,834.13,🧟‍♀️,WOMAN ZOMBIE,1F9DF-200D-2640-FE0F,11111100111011111 10000000001101 10011001000000 1111111000001111,F09FA79FE2808DE29980EFB88F,11110000100111111010011110011111111000101000000010001101111000101001100110000000111011111011100010001111
53,242,555,68,51,276,580.5,300.66,869.60,🤝,HANDSHAKE,1F91D,11111100100011101,F09FA49D,11110000100111111010010010011101
54,363,571,47,67,386.5,604.5,303.35,763.14,👷🏿‍♀️,CUSTOM INPUT,1F477-1F3FF-200D-2640-FE0F,11111010001110111 11111001111111111 10000000001101 10011001000000 1111111000001111,F09F91B7F09F8FBFE2808DE29980EFB88F,1111000010011111100100011011011111110000100111111000111110111111111000101000000010001101111000101001100110000000111011111011100010001111
55,449,522,56,70,477,557,310.49,719.23,🧑🏾‍🦳,CUSTOM INPUT,1F9D1-1F3FE-200D-1F9B3,11111100111010001 11111001111111110 10000000001101 11111100110110011,F09FA791F09F8FBEE2808DF09FA6B3,111100001001111110100111100100011111000010011111100011111011111011100010100000001000110111110000100111111010011010110011
56,555,512,36,48,573,536,317.26,664.49,🧎🏻,CUSTOM INPUT,1F9CE-1F3FB,11111100111001110 11111001111111011,F09FA78EF09F8FBB,1111000010011111101001111000111011110000100111111000111110111011
57,636,486,62,68,667,520,324.69,617.63,💆‍♀️,WOMAN GETTING MASSAGE,1F486-200D-2640-FE0F,11111010010000110 10000000001101 10011001000000 1111111000001111,F09F9286E2808DE29980EFB88F,11110000100111111001001010000110111000101000000010001101111000101001100110000000111011111011100010001111
58,735,497,51,68,760.5,531,331.88,559.00,👮🏾‍♀️,CUSTOM INPUT,1F46E-1F3FE-200D-2640-FE0F,11111010001101110 11111001111111110 10000000001101 10011001000000 1111111000001111,F09F91AEF09F8FBEE2808DE29980EFB88F,1111000010011111100100011010111011110000100111111000111110111110111000101000000010001101111000101001100110000000111011111011100010001111
59,474,633,69,49,508.5,657.5,305.41,632.50,🤜,RIGHT-FACING FIST,1F91C,11111100100011100,F09FA49C,11110000100111111010010010011100
60,576,594,51,68,601.5,628,313.15,579.07,🤱,BREAST-FEEDING,1F931,11111100100110001,F09FA4B1,11110000100111111010010010110001
61,657,608,69,40,691.5,628,319.98,517.08,🚣,ROWBOAT,1F6A3,11111011010100011,F09F9AA3,11110000100111111001101010100011
62,759,616,45,67,781.5,649.5,327.08,446.16,🤘,SIGN OF THE HORNS,1F918,11111100100011000,F09FA498,11110000100111111010010010011000
63,812,531,67,68,845.5,565,338.75,492.49,👨‍🏫,MAN TEACHER,1F468-200D-1F3EB,11111010001101000 10000000001101 11111001111101011,F09F91A8E2808DF09F8FAB,1111000010011111100100011010100011100010100000001000110111110000100111111000111110101011
64,894,589,58,65,923,621.5,345.91,414.98,🧝‍♂️,MAN ELF,1F9DD-200D-2642-FE0F,11111100111011101 10000000001101 10011001000010 1111111000001111,F09FA79DE2808DE29982EFB88F,11110000100111111010011110011101111000101000000010001101111000101001100110000010111011111011100010001111
65,1039,614,30,59,1054,643.5,4.51,381.68,❓,BLACK QUESTION MARK ORNAMENT,2753,10011101010011,E29D93,111000101001110110010011
66,1112,568,65,72,1144.5,604,16.01,436.94,👯‍♂️,MEN WITH BUNNY EARS,1F46F-200D-2642-FE0F,11111010001101111 10000000001101 10011001000010 1111111000001111,F09F91AFE2808DE29982EFB88F,11110000100111111001000110101111111000101000000010001101111000101001100110000010111011111011100010001111
67,1221,562,64,64,1253,594,28.04,487.18,😙,KISSING FACE WITH SMILING EYES,1F619,11111011000011001,F09F9899,11110000100111111001100010011001
68,1329,581,70,70,1364,616,39.81,531.10,👨‍🌾,MAN FARMER,1F468-200D-1F33E,11111010001101000 10000000001101 11111001100111110,F09F91A8E2808DF09F8CBE,1111000010011111100100011010100011100010100000001000110111110000100111111000110010111110
69,1438,636,59,66,1467.5,669,51.32,568.08,👱‍♂️,MAN: BLOND HAIR,1F471-200D-2642-FE0F,11111010001110001 10000000001101 10011001000010 1111111000001111,F09F91B1E2808DE29982EFB88F,11110000100111111001000110110001111000101000000010001101111000101001100110000010111011111011100010001111
70,1542,621,63,70,1573.5,656,56.19,661.34,🏋,PERSON LIFTING WEIGHTS,1F3CB,11111001111001011,F09F8F8B,11110000100111111000111110001011
71,1651,632,40,67,1671,665.5,61.01,739.68,💂‍♀️,WOMAN GUARD,1F482-200D-2640-FE0F,11111010010000010 10000000001101 10011001000000 1111111000001111,F09F9282E2808DE29980EFB88F,11110000100111111001001010000010111000101000000010001101111000101001100110000000111011111011100010001111
72,1730,657,60,67,1760,690.5,65.62,808.03,🧙‍♀️,WOMAN MAGE,1F9D9-200D-2640-FE0F,11111100111011001 10000000001101 10011001000000 1111111000001111,F09FA799E2808DE29980EFB88F,11110000100111111010011110011001111000101000000010001101111000101001100110000000111011111011100010001111
73,390,660,59,68,419.5,694,298.63,688.71,🧙‍♂️,MAN MAGE,1F9D9-200D-2642-FE0F,11111100111011001 10000000001101 10011001000010 1111111000001111,F09FA799E2808DE29982EFB88F,11110000100111111010011110011001111000101000000010001101111000101001100110000010111011111011100010001111
74,266,651,70,46,301,674,295.83,803.26,🏊,SWIMMER,1F3CA,11111001111001010,F09F8F8A,11110000100111111000111110001010
75,192,713,66,66,225,746,289.18,845.98,😹,CAT FACE WITH TEARS OF JOY,1F639,11111011000111001,F09F98B9,11110000100111111001100010111001
76,317,721,60,67,347,754.5,291.71,728.67,👨‍🎤,MAN SINGER,1F468-200D-1F3A4,11111010001101000 10000000001101 11111001110100100,F09F91A8E2808DF09F8EA4,1111000010011111100100011010100011100010100000001000110111110000100111111000111010100100
77,447,746,61,66,477.5,779,294.15,598.91,🧒,CHILD,1F9D2,11111100111010010,F09FA792,11110000100111111010011110010010
78,529,729,69,35,563.5,746.5,301.07,537.65,🫳,PALM DOWN HAND,1FAF3,11111101011110011,F09FABB3,11110000100111111010101110110011
79,626,699,62,67,657,732.5,308.46,468.68,👩‍🦯‍➡️,WOMAN WITH WHITE CANE FACING RIGHT,1F469-200D-1F9AF-200D-27A1-FE0F,11111010001101001 10000000001101 11111100110101111 10000000001101 10011110100001 1111111000001111,F09F91A9E2808DF09FA6AFE2808DE29EA1EFB88F,1111000010011111100100011010100111100010100000001000110111110000100111111010011010101111111000101000000010001101111000101001111010100001111011111011100010001111
80,729,715,50,65,754,747.5,315.68,386.46,🧑‍⚕️,HEALTH WORKER,1F9D1-200D-2695-FE0F,11111100111010001 10000000001101 10011010010101 1111111000001111,F09FA791E2808DE29A95EFB88F,11110000100111111010011110010001111000101000000010001101111000101001101010010101111011111011100010001111
81,853,674,42,65,874,706.5,334.71,351.15,🚶‍♂️,MAN WALKING,1F6B6-200D-2642-FE0F,11111011010110110 10000000001101 10011001000010 1111111000001111,F09F9AB6E2808DE29982EFB88F,11110000100111111001101010110110111000101000000010001101111000101001100110000010111011111011100010001111
82,958,684,60,65,988,716.5,353.32,309.60,🧛,VAMPIRE,1F9DB,11111100111011011,F09FA79B,11110000100111111010011110011011
83,1042,733,69,68,1076.5,767,11.55,262.31,👵,OLDER WOMAN,1F475,11111010001110101,F09F91B5,11110000100111111001000110110101
84,1139,673,38,67,1158,706.5,22.88,344.62,🖕,REVERSED HAND WITH MIDDLE FINGER EXTENDED,1F595,11111010110010101,F09F9695,11110000100111111001011010010101
85,1227,659,58,66,1256,692,34.95,405.03,✊,RAISED FIST,270A,10011100001010,E29C8A,111000101001110010001010
86,1322,676,68,68,1356,710,46.60,456.97,🤦🏿,CUSTOM INPUT,1F926-1F3FF,11111100100100110 11111001111111111,F09FA4A6F09F8FBF,1111000010011111101001001010011011110000100111111000111110111111
87,1424,726,64,69,1456,760.5,58.62,506.02,🖖🏿,CUSTOM INPUT,1F596-1F3FF,11111010110010110 11111001111111111,F09F9696F09F8FBF,1111000010011111100101101001011011110000100111111000111110111111
88,1537,718,56,65,1565,750.5,63.18,606.20,👳,MAN WITH TURBAN,1F473,11111010001110011,F09F91B3,11110000100111111001000110110011
89,1638,729,54,64,1665,761,67.69,692.86,👳‍♀️,WOMAN WEARING TURBAN,1F473-200D-2640-FE0F,11111010001110011 10000000001101 10011001000000 1111111000001111,F09F91B3E2808DE29980EFB88F,11110000100111111001000110110011111000101000000010001101111000101001100110000000111011111011100010001111
90,1722,779,69,34,1756.5,796,72.71,767.16,🫴🏿,CUSTOM INPUT,1FAF4-1F3FF,11111101011110100 11111001111111111,F09FABB4F09F8FBF,1111000010011111101010111011010011110000100111111000111110111111
91,1817,700,62,63,1848,731.5,70.46,874.38,🙊,SPEAK-NO-EVIL MONKEY,1F64A,11111011001001010,F09F998A,11110000100111111001100110001010
92,1814,807,51,69,1839.5,841.5,77.39,835.67,👩🏿‍✈️,CUSTOM INPUT,1F469-1F3FF-200D-2708-FE0F,11111010001101001 11111001111111111 10000000001101 10011100001000 1111111000001111,F09F91A9F09F8FBFE2808DE29C88EFB88F,1111000010011111100100011010100111110000100111111000111110111111111000101000000010001101111000101001110010001000111011111011100010001111
93,1880,869,63,62,1911.5,900,82.05,896.12,🧝🏻‍♀️,CUSTOM INPUT,1F9DD-1F3FB-200D-2640-FE0F,11111100111011101 11111001111111011 10000000001101 10011001000000 1111111000001111,F09FA79DF09F8FBBE2808DE29980EFB88F,1111000010011111101001111001110111110000100111111000111110111011111000101000000010001101111000101001100110000000111011111011100010001111
94,1780,912,67,69,1813.5,946.5,84.39,793.29,💗,GROWING HEART,1F497,11111010010010111,F09F9297,11110000100111111001001010010111
95,1701,864,65,63,1733.5,895.5,79.73,721.04,🙂,SLIGHTLY SMILING FACE,1F642,11111011001000010,F09F9982,11110000100111111001100110000010
96,1610,823,65,69,1642.5,857.5,74.93,640.52,🤮,FACE WITH OPEN MOUTH VOMITING,1F92E,11111100100101110,F09FA4AE,11110000100111111010010010101110
97,1501,821,70,41,1536,841.5,70.38,543.55,🚣,ROWBOAT,1F6A3,11111011010100011,F09F9AA3,11110000100111111001101010100011
98,1380,816,63,63,1411.5,847.5,65.51,425.80,😉,WINKING FACE,1F609,11111011000001001,F09F9889,11110000100111111001100010001001
99,1286,772,71,68,1321.5,806,53.77,368.82,🧑🏿‍🏫,CUSTOM INPUT,1F9D1-1F3FF-200D-1F3EB,11111100111010001 11111001111111111 10000000001101 11111001111101011,F09FA791F09F8FBFE2808DF09F8FAB,111100001001111110100111100100011111000010011111100011111011111111100010100000001000110111110000100111111000111110101011
100,1194,766,58,67,1223,799.5,41.55,300.00,👱🏿,CUSTOM INPUT,1F471-1F3FF,11111010001110001 11111001111111111,F09F91B1F09F8FBF,1111000010011111100100011011000111110000100111111000111110111111
101,1091,819,63,71,1122.5,854.5,30.16,196.04,🙋🏿‍♂️,CUSTOM INPUT,1F64B-1F3FF-200D-2642-FE0F,11111011001001011 11111001111111111 10000000001101 10011001000010 1111111000001111,F09F998BF09F8FBFE2808DE29982EFB88F,1111000010011111100110011000101111110000100111111000111110111111111000101000000010001101111000101001100110000010111011111011100010001111
102,919,784,68,67,953,817.5,341.03,218.36,🏋🏿‍♀️,CUSTOM INPUT,1F3CB-1F3FF-200D-2640-FE0F,11111001111001011 11111001111111111 10000000001101 10011001000000 1111111000001111,F09F8F8BF09F8FBFE2808DE29980EFB88F,1111000010011111100011111000101111110000100111111000111110111111111000101000000010001101111000101001100110000000111011111011100010001111
103,830,773,62,67,861,806.5,323.15,271.80,👩‍⚖️,WOMAN JUDGE,1F469-200D-2696-FE0F,11111010001101001 10000000001101 10011010010110 1111111000001111,F09F91A9E2808DE29A96EFB88F,11110000100111111001000110101001111000101000000010001101111000101001101010010110111011111011100010001111
104,733,812,53,67,759.5,845.5,304.01,319.10,🙎🏾,CUSTOM INPUT,1F64E-1F3FE,11111011001001110 11111001111111110,F09F998EF09F8FBE,1111000010011111100110011000111011110000100111111000111110111110
105,615,802,70,63,650,833.5,296.99,419.72,🫵,INDEX POINTING AT THE VIEWER,1FAF5,11111101011110101,F09FABB5,11110000100111111010101110110101
106,529,828,58,64,558,860,289.39,494.02,👩‍🔬,WOMAN SCIENTIST,1F469-200D-1F52C,11111010001101001 10000000001101 11111010100101100,F09F91A9E2808DF09F94AC,1111000010011111100100011010100111100010100000001000110111110000100111111001010010101100
107,446,872,56,65,474,904.5,282.26,562.83,🏃,RUNNER,1F3C3,11111001111000011,F09F8F83,11110000100111111000111110000011
108,363,806,72,56,399,834,286.91,653.24,🤲,PALMS UP TOGETHER,1F932,11111100100110010,F09FA4B2,11110000100111111010010010110010
109,240,797,58,68,269,831,284.34,779.28,🧑🏻‍🦱,CUSTOM INPUT,1F9D1-1F3FB-200D-1F9B1,11111100111010001 11111001111111011 10000000001101 11111100110110001,F09FA791F09F8FBBE2808DF09FA6B1,111100001001111110100111100100011111000010011111100011111011101111100010100000001000110111110000100111111010011010110001
110,125,807,68,69,159,841.5,281.91,884.04,👯‍♀️,WOMEN WITH BUNNY EARS,1F46F-200D-2640-FE0F,11111010001101111 10000000001101 10011001000000 1111111000001111,F09F91AFE2808DE29980EFB88F,11110000100111111001000110101111111000101000000010001101111000101001100110000000111011111011100010001111
111,183,888,65,67,215.5,921.5,277.23,814.97,👨‍🎤,MAN SINGER,1F468-200D-1F3A4,11111010001101000 10000000001101 11111001110100100,F09F91A8E2808DF09F8EA4,1111000010011111100100011010100011100010100000001000110111110000100111111000111010100100
112,297,887,69,47,331.5,910.5,279.31,701.74,🤏,PINCHING HAND,1F90F,11111100100001111,F09FA48F,11110000100111111010010010001111
113,384,937,50,65,409,969.5,275.06,617.41,👨‍🍼,MAN FEEDING BABY,1F468-200D-1F37C,11111010001101000 10000000001101 11111001101111100,F09F91A8E2808DF09F8DBC,1111000010011111100100011010100011100010100000001000110111110000100111111000110110111100
114,999,881,51,64,1024.5,913,0.26,111.00,👃,NOSE,1F443,11111010001000011,F09F9183,11110000100111111001000110000011
115,1209,870,56,66,1237,903,60.40,244.97,🧑‍🦲,PERSON: BALD,1F9D1-200D-1F9B2,11111100111010001 10000000001101 11111100110110010,F09FA791E2808DF09FA6B2,1111000010011111101001111001000111100010100000001000110111110000100111111010011010110010
116,260,956,35,68,277.5,990,272.61,747.27,🦵,LEG,1F9B5,11111100110110101,F09FA6B5,11110000100111111010011010110101
