id,x,y,w,h,cx,cy,angle_deg,radius,char,name,cp_hex,cp_bin,utf8_hex,utf8_bin
192,1052,1614,51,63,1077.5,1645.5,175.08,623.80,🧝🏾,CUSTOM INPUT,1F9DD-1F3FE,11111100111011101 11111001111111110,F09FA79DF09F8FBE,1111000010011111101001111001110111110000100111111000111110111110
193,1135,1645,61,71,1165.5,1680.5,167.84,671.58,💆🏾‍♂️,CUSTOM INPUT,1F486-1F3FE-200D-2642-FE0F,11111010010000110 11111001111111110 10000000001101 10011001000010 1111111000001111,F09F9286F09F8FBEE2808DE29982EFB88F,1111000010011111100100101000011011110000100111111000111110111110111000101000000010001101111000101001100110000010111011111011100010001111
194,1000,1691,60,71,1030,1726.5,179.51,702.53,👩🏾‍🏭,CUSTOM INPUT,1F469-1F3FE-200D-1F3ED,11111010001101001 11111001111111110 10000000001101 11111001111101101,F09F91A9F09F8FBEE2808DF09F8FAD,111100001001111110010001101010011111000010011111100011111011111011100010100000001000110111110000100111111000111110101101
195,1196,1756,57,67,1224.5,1789.5,165.32,791.32,🧑🏾,CUSTOM INPUT,1F9D1-1F3FE,11111100111010001 11111001111111110,F09FA791F09F8FBE,1111000010011111101001111001000111110000100111111000111110111110
196,1243,1672,43,67,1264.5,1705.5,160.56,722.69,💡,ELECTRIC LIGHT BULB,1F4A1,11111010010100001,F09F92A1,11110000100111111001001010100001
197,1301,1764,67,66,1334.5,1797,158.12,833.03,🧮,ABACUS,1F9EE,11111100111101110,F09FA7AE,11110000100111111010011110101110
198,1415,1753,66,67,1448,1786.5,150.92,872.46,💅,NAIL POLISH,1F485,11111010010000101,F09F9285,11110000100111111001001010000101
199,1332,1680,68,62,1366,1711,153.54,767.42,🤷‍♂️,MAN SHRUGGING,1F937-200D-2642-FE0F,11111100100110111 10000000001101 10011001000010 1111111000001111,F09FA4B7E2808DE29982EFB88F,11110000100111111010010010110111111000101000000010001101111000101001100110000010111011111011100010001111
200,1453,1665,41,65,1473.5,1697.5,146.28,809.72,💂🏻,CUSTOM INPUT,1F482-1F3FB,11111010010000010 11111001111111011,F09F9282F09F8FBB,1111000010011111100100101000001011110000100111111000111110111011
201,1463,1569,40,67,1483,1602.5,141.57,738.47,🫄,PREGNANT PERSON,1FAC4,11111101011000100,F09FAB84,11110000100111111010101110000100
202,1357,1580,59,68,1386.5,1614,148.43,692.46,🕵🏻,CUSTOM INPUT,1F575-1F3FB,11111010101110101 11111001111111011,F09F95B5F09F8FBB,1111000010011111100101011011010111110000100111111000111110111011
203,1250,1578,70,64,1285,1610,155.99,641.50,🙌,PERSON RAISING BOTH HANDS IN CELEBRATION,1F64C,11111011001001100,F09F998C,11110000100111111001100110001100
204,1162,1549,66,69,1195,1583.5,163.01,585.05,🙇🏽,CUSTOM INPUT,1F647-1F3FD,11111011001000111 11111001111111101,F09F9987F09F8FBD,1111000010011111100110011000011111110000100111111000111110111101
205,1254,1472,70,62,1289,1503,151.05,547.42,⚠️,WARNING SIGN,26A0-FE0F,10011010100000 1111111000001111,E29AA0EFB88F,111000101001101010100000111011111011100010001111
206,1354,1483,54,64,1381,1515,143.98,607.07,👩🏾‍🦼‍➡️,CUSTOM INPUT,1F469-1F3FE-200D-1F9BC-200D-27A1-FE0F,11111010001101001 11111001111111110 10000000001101 11111100110111100 10000000001101 10011110100001 1111111000001111,F09F91A9F09F8FBEE2808DF09FA6BCE2808DE29EA1EFB88F,111100001001111110010001101010011111000010011111100011111011111011100010100000001000110111110000100111111010011010111100111000101000000010001101111000101001111010100001111011111011100010001111
207,1082,1510,64,62,1114,1541,170.12,524.78,🫡,SALUTING FACE,1FAE1,11111101011100001,F09FABA1,11110000100111111010101110100001
208,1012,1446,64,64,1044,1478,177.48,454.44,🧖‍♂️,MAN IN STEAMY ROOM,1F9D6-200D-2642-FE0F,11111100111010110 10000000001101 10011001000010 1111111000001111,F09FA796E2808DE29982EFB88F,11110000100111111010011110010110111000101000000010001101111000101001100110000010111011111011100010001111
209,1092,1380,67,65,1125.5,1412.5,165.36,401.54,💇‍♂️,MAN GETTING HAIRCUT,1F487-200D-2642-FE0F,11111010010000111 10000000001101 10011001000010 1111111000001111,F09F9287E2808DE29982EFB88F,11110000100111111001001010000111111000101000000010001101111000101001100110000010111011111011100010001111
210,1177,1437,55,68,1204.5,1471,158.01,482.07,👩🏿‍🍳,CUSTOM INPUT,1F469-1F3FF-200D-1F373,11111010001101001 11111001111111111 10000000001101 11111001101110011,F09F91A9F09F8FBFE2808DF09F8DB3,111100001001111110010001101010011111000010011111100011111011111111100010100000001000110111110000100111111000110110110011
211,966,1359,58,65,995,1391.5,184.51,368.64,🧑🏾‍💻,CUSTOM INPUT,1F9D1-1F3FE-200D-1F4BB,11111100111010001 11111001111111110 10000000001101 11111010010111011,F09FA791F09F8FBEE2808DF09F92BB,111100001001111110100111100100011111000010011111100011111011111011100010100000001000110111110000100111111001001010111011
212,1038,1289,50,66,1063,1322,172.54,300.54,👨🏾‍⚕️,CUSTOM INPUT,1F468-1F3FE-200D-2695-FE0F,11111010001101000 11111001111111110 10000000001101 10011010010101 1111111000001111,F09F91A8F09F8FBEE2808DE29A95EFB88F,1111000010011111100100011010100011110000100111111000111110111110111000101000000010001101111000101001101010010101111011111011100010001111
213,1143,1294,66,69,1176,1328.5,153.47,340.33,🤦‍♀️,WOMAN FACEPALMING,1F926-200D-2640-FE0F,11111100100100110 10000000001101 10011001000000 1111111000001111,F09FA4A6E2808DE29980EFB88F,11110000100111111010010010100110111000101000000010001101111000101001100110000000111011111011100010001111
214,1238,1351,59,67,1267.5,1384.5,145.96,435.03,🎅🏻,CUSTOM INPUT,1F385-1F3FB,11111001110000101 11111001111111011,F09F8E85F09F8FBB,1111000010011111100011101000010111110000100111111000111110111011
215,1271,1258,50,63,1296,1289.5,134.31,380.10,👩🏿‍💼,CUSTOM INPUT,1F469-1F3FF-200D-1F4BC,11111010001101001 11111001111111111 10000000001101 11111010010111100,F09F91A9F09F8FBFE2808DF09F92BC,111100001001111110010001101010011111000010011111100011111011111111100010100000001000110111110000100111111001001010111100
216,1158,1210,67,42,1191.5,1231,141.02,266.28,👈🏻,CUSTOM INPUT,1F448-1F3FB,11111010001001000 11111001111111011,F09F9188F09F8FBB,1111000010011111100100011000100011110000100111111000111110111011
217,1265,1161,50,62,1290,1192,122.28,314.61,🙎‍♂️,MAN POUTING,1F64E-200D-2642-FE0F,11111011001001110 10000000001101 10011001000010 1111111000001111,F09F998EE2808DE29982EFB88F,11110000100111111001100110001110111000101000000010001101111000101001100110000010111011111011100010001111
218,1557,1636,49,63,1581.5,1667.5,139.10,851.41,🙍‍♂️,MAN FROWNING,1F64D-200D-2642-FE0F,11111011001001101 10000000001101 10011001000010 1111111000001111,F09F998DE2808DE29982EFB88F,11110000100111111001100110001101111000101000000010001101111000101001100110000010111011111011100010001111
219,1650,1585,66,65,1683,1617.5,132.01,886.86,💝,HEART WITH RIBBON,1F49D,11111010010011101,F09F929D,11110000100111111001001010011101
220,1551,1538,65,67,1583.5,1571.5,134.38,782.81,🙅🏿,CUSTOM INPUT,1F645-1F3FF,11111011001000101 11111001111111111,F09F9985F09F8FBF,1111000010011111100110011000010111110000100111111000111110111111
221,1648,1501,67,47,1681.5,1524.5,127.28,826.32,👉,WHITE RIGHT POINTING BACKHAND INDEX,1F449,11111010001001001,F09F9189,11110000100111111001000110001001
222,1445,1469,65,68,1477.5,1503,136.57,659.62,🧜🏾,CUSTOM INPUT,1F9DC-1F3FE,11111100111011100 11111001111111110,F09FA79CF09F8FBE,1111000010011111101001111001110011110000100111111000111110111110
223,1540,1446,62,64,1571,1478,129.69,710.86,😞,DISAPPOINTED FACE,1F61E,11111011000011110,F09F989E,11110000100111111001100010011110
224,1629,1396,69,70,1663.5,1431,122.47,758.03,🫨,SHAKING FACE,1FAE8,11111101011101000,F09FABA8,11110000100111111010101110101000
225,1322,1378,68,63,1356,1409.5,139.26,508.76,🦸🏼,CUSTOM INPUT,1F9B8-1F3FC,11111100110111000 11111001111111100,F09FA6B8F09F8FBC,1111000010011111101001101011100011110000100111111000111110111100
226,1422,1373,57,67,1450.5,1406.5,131.89,572.89,👩‍🎓,WOMAN STUDENT,1F469-200D-1F393,11111010001101001 10000000001101 11111001110010011,F09F91A9E2808DF09F8E93,1111000010011111100100011010100111100010100000001000110111110000100111111000111010010011
227,1515,1352,54,65,1542,1384.5,124.84,631.10,👨🏾‍🔬,CUSTOM INPUT,1F468-1F3FE-200D-1F52C,11111010001101000 11111001111111110 10000000001101 11111010100101100,F09F91A8F09F8FBEE2808DF09F94AC,111100001001111110010001101010001111000010011111100011111011111011100010100000001000110111110000100111111001010010101100
